"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
300280,20,0,0,0,0,0,1,0,1,16
300281,33,0,0,1,0,1,0,1,1,271
300282,38,0,0,1,1,0,0,1,0,597
300284,19,0,1,0,0,0,1,0,1,81
300285,17,0,1,0,0,0,1,1,1,71
300286,18,1,1,0,0,0,0,1,1,8
300288,38,0,1,1,0,0,0,0,1,64
300290,63,0,1,0,0,0,1,1,0,556
300292,28,0,0,0,0,0,1,1,0,1204
300296,42,1,1,0,1,1,0,1,1,90
300299,18,0,1,1,0,0,0,0,1,482
300304,19,1,0,1,0,0,0,0,1,58
300305,68,0,1,0,0,1,0,0,1,19
300307,26,1,1,0,1,0,1,1,1,471
300308,42,0,1,0,0,0,1,0,0,388
300309,41,1,1,0,0,0,1,0,1,149
300313,17,0,1,1,0,0,1,0,1,15
300314,30,0,0,1,0,1,0,1,1,18
300316,32,1,1,1,1,0,0,1,1,3
300317,37,1,1,1,1,1,0,1,1,123
300318,31,0,0,1,0,0,0,1,1,31
300321,21,0,1,0,1,0,0,1,1,11
300322,32,1,1,1,1,1,0,1,1,239
300323,19,1,1,1,1,0,0,1,1,549
300324,20,1,0,1,1,0,0,1,1,193
300325,23,0,1,1,0,0,0,0,1,369
300327,38,1,0,1,0,0,0,1,0,652
300329,25,0,0,1,0,0,0,1,1,81
300330,26,0,1,0,1,0,1,1,1,7
300331,34,1,0,1,1,0,0,1,0,482
300332,28,1,0,0,0,0,1,1,1,7
300333,39,0,1,0,0,0,1,0,1,113
300335,67,1,1,0,0,1,0,1,1,239
300336,28,1,1,1,1,0,0,1,1,5
300338,20,0,1,1,1,0,0,1,1,246
300339,20,1,0,1,1,0,0,1,1,58
300341,19,0,0,0,1,0,1,1,1,6
300343,31,1,1,1,1,1,1,1,1,7
300346,34,1,1,0,0,0,1,0,1,229
300347,39,0,0,1,0,0,0,1,1,48
300349,17,0,0,0,1,0,1,1,1,519
300350,22,1,0,0,0,0,1,1,1,211
300355,24,0,0,1,1,0,0,1,1,219
300358,19,1,0,0,0,0,1,1,1,280
300362,28,1,1,1,1,1,0,1,1,376
300364,18,1,0,0,0,0,1,1,1,30
300368,39,0,0,1,0,0,0,0,0,656
300369,56,0,0,0,1,0,1,1,1,104
300372,32,0,1,0,1,0,1,1,1,374
300374,20,1,1,1,0,0,0,1,1,466
300378,28,0,1,1,1,0,0,1,1,137
300379,17,0,1,0,0,0,0,0,1,414
300382,18,0,0,0,1,0,0,1,0,720
300383,24,1,0,0,1,0,1,1,0,521
300385,30,0,1,1,0,1,0,1,1,177
300387,41,1,1,1,1,1,1,1,1,49
300388,19,0,1,0,1,0,1,1,1,255
300389,28,1,1,1,0,1,0,1,1,246
300391,26,0,0,0,1,0,1,1,1,32
300392,29,1,1,1,1,1,0,1,1,134
300393,42,0,0,1,0,0,0,0,1,216
300396,20,0,1,0,0,0,1,1,1,7
300397,17,0,1,1,1,0,0,1,1,612
300398,27,1,1,1,0,1,0,0,1,902
300400,30,1,0,1,1,1,1,1,1,4
300401,26,0,0,0,0,0,1,0,1,170
300403,37,1,1,0,1,0,1,1,1,18
300404,32,1,0,0,1,0,1,1,1,182
300406,20,0,0,0,1,0,1,1,1,241
300407,25,0,1,0,0,0,0,1,1,20
300409,27,0,0,0,0,0,1,0,1,17
300413,18,0,0,0,0,0,1,1,1,176
300415,48,0,1,1,0,1,1,1,1,11
300417,40,0,1,1,1,1,1,1,1,126
300419,23,1,1,0,0,1,0,0,0,563
300421,30,0,0,1,1,1,0,1,1,490
300422,24,0,1,1,1,0,0,1,1,25
300424,25,1,1,0,0,0,0,0,1,609
300425,20,0,0,1,0,1,0,1,0,1195
300428,28,0,0,1,0,0,0,1,0,507
300429,33,1,1,0,1,0,1,1,1,476
300430,19,1,1,0,1,0,0,1,1,70
300431,21,1,0,1,0,0,0,0,1,518
300433,34,0,1,1,1,0,0,0,1,32
300435,60,0,0,0,0,0,0,1,0,558
300436,22,1,0,1,1,0,0,1,1,573
300437,34,0,0,0,0,0,1,0,0,1221
300439,35,1,1,0,0,0,1,0,1,587
