"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
303407,19,1,1,0,1,0,1,1,0,554
303408,32,1,1,0,1,1,0,1,1,201
303410,26,1,0,1,1,0,0,1,1,60
303413,27,1,0,1,1,1,1,1,1,53
303415,34,1,0,1,1,1,1,1,1,242
303416,24,1,0,0,1,0,0,0,1,268
303419,18,0,1,0,0,0,1,0,1,3
303420,30,0,1,1,1,0,0,1,0,397
303422,32,1,1,1,1,0,0,1,1,47
303424,35,1,1,0,0,1,0,0,1,267
303425,19,0,0,1,0,0,0,0,1,866
303426,20,1,0,1,1,0,0,1,1,554
303427,25,0,0,1,0,0,0,1,1,387
303429,25,1,1,0,0,0,1,1,1,70
303431,36,1,0,0,0,0,1,1,0,1086
303432,39,1,0,1,1,0,0,1,1,150
303433,29,1,1,0,1,0,1,1,0,449
303435,16,0,0,1,0,0,0,1,0,1172
303436,23,1,1,0,0,0,1,1,1,37
303437,26,0,0,0,1,0,1,1,1,132
303441,16,0,1,0,0,0,1,0,0,433
303442,20,0,0,0,1,0,1,1,1,77
303443,50,1,1,0,1,1,0,1,0,517
303444,21,0,0,1,1,0,0,1,1,16
303445,32,0,0,0,0,0,1,0,0,894
303446,18,1,0,0,0,0,0,1,1,105
303447,21,1,1,1,1,1,1,1,1,53
303448,20,0,0,0,1,1,0,1,1,146
303449,17,0,1,0,1,0,1,1,1,402
303453,19,1,0,1,0,0,0,1,0,1193
303454,22,1,0,0,0,0,1,0,1,30
303460,20,1,0,1,0,0,0,0,0,1389
303463,20,0,0,0,1,0,0,1,1,386
303464,26,1,1,1,0,1,0,1,1,305
303468,27,1,0,0,0,0,1,0,1,237
303469,24,1,0,1,1,0,1,1,1,339
303471,23,0,0,0,1,0,0,1,1,237
303472,23,1,1,0,0,0,1,1,0,530
303475,16,0,1,0,0,0,1,1,1,291
303476,29,1,1,1,1,0,0,1,1,16
303477,17,0,0,0,1,0,0,1,1,271
303480,17,0,0,0,0,0,0,0,1,564
303481,24,0,0,1,0,0,0,1,1,117
303483,34,0,0,0,0,0,1,1,0,600
303484,19,1,1,1,0,1,1,0,1,437
303485,30,0,1,0,1,0,0,1,0,384
303488,27,1,1,0,1,0,0,1,1,399
303490,19,1,1,0,0,0,1,0,1,625
303491,41,1,0,1,1,1,0,1,1,606
303492,40,1,1,1,0,1,1,0,1,165
303493,50,1,1,0,0,0,1,0,1,394
303495,20,1,1,0,0,0,0,0,1,257
303497,39,1,1,0,0,0,1,0,0,726
303498,18,1,0,1,0,0,1,1,1,350
303500,18,0,0,0,1,0,1,1,1,192
303501,18,0,1,0,0,1,0,1,1,94
303502,20,0,0,1,0,0,0,1,1,229
303503,60,0,0,1,0,1,0,1,1,152
303504,21,1,0,1,1,0,0,1,1,105
303505,31,0,0,0,1,0,1,1,1,26
303507,30,1,0,0,0,0,1,0,0,538
303508,25,1,1,0,0,0,0,1,1,26
303509,18,0,1,0,1,0,1,1,1,5
303512,28,1,1,1,1,0,0,0,0,602
303514,21,1,1,1,1,0,0,1,1,334
303516,24,0,1,1,1,0,1,1,1,124
303517,31,1,1,1,0,0,1,1,0,906
303519,42,1,1,0,0,0,1,1,1,79
303520,27,0,0,0,0,0,1,0,1,1040
303522,29,0,0,0,1,0,1,1,1,120
303525,33,0,0,0,0,0,1,0,1,413
303528,33,0,0,1,0,0,0,1,1,560
303530,23,0,1,1,1,0,0,1,1,438
303534,21,0,0,1,0,0,0,0,1,1132
303535,23,1,0,0,1,0,1,1,1,452
303537,19,1,0,1,0,0,0,1,1,284
303539,33,0,1,0,1,0,1,1,0,615
303541,31,1,0,0,1,0,1,1,1,69
303542,40,1,1,1,0,0,0,1,0,421
303546,38,1,1,1,0,0,1,0,1,95
303548,18,0,1,0,1,0,1,1,1,449
303550,38,0,1,1,1,0,0,1,1,131
303551,22,0,1,0,0,0,1,0,1,82
303553,37,1,1,0,1,1,0,1,1,143
303556,21,1,0,1,1,0,0,1,1,51
303558,17,0,0,0,1,0,1,1,1,370
303559,24,1,1,0,0,0,0,0,1,28
303561,28,1,0,0,1,0,0,1,1,365
303563,37,0,1,0,0,0,1,0,1,219
303565,42,1,1,1,0,1,0,0,0,560
303566,32,1,1,0,1,0,1,1,1,362
303569,22,1,1,1,0,1,0,1,1,17
303570,23,1,1,1,0,0,0,0,1,57
303573,29,1,1,0,1,0,1,1,1,12
303575,56,1,1,0,0,1,0,0,1,365
303577,34,1,0,0,1,0,0,1,1,204
303578,22,0,0,1,0,0,0,0,1,259
303580,27,0,0,1,1,1,1,1,1,105
303582,27,0,1,1,0,1,1,1,1,3
303584,20,1,0,0,1,0,1,1,1,17
303586,27,0,1,0,0,0,1,1,1,10
303588,20,1,0,0,1,0,1,0,1,13
303589,22,1,0,0,1,0,1,1,1,11
303591,28,1,1,0,1,0,1,1,1,2
303595,19,0,1,0,1,0,0,1,1,303
303596,19,0,0,1,0,0,0,1,1,115
303598,26,0,1,0,1,0,1,1,1,36
303599,34,1,0,0,0,0,1,1,1,210
303601,23,1,1,0,1,0,1,1,1,536
303605,22,0,0,1,1,0,0,1,0,484
303606,23,0,0,0,0,0,0,1,0,513
303608,53,1,0,0,0,0,1,0,1,282
303611,27,1,1,1,1,0,0,1,1,6
303612,21,1,0,1,0,0,0,1,1,257
303615,23,1,0,1,1,0,0,1,0,558
303617,32,1,1,1,1,0,0,1,1,381
303618,39,0,0,1,0,0,0,0,1,293
303619,21,1,0,0,0,0,0,1,0,536
303620,21,1,1,0,1,0,0,1,0,1075
303621,34,0,1,0,0,0,1,1,0,563
303626,18,0,1,0,1,0,0,1,1,195
303628,53,1,1,1,1,1,0,1,0,588
303629,18,0,1,0,1,0,1,1,1,69
303630,27,0,0,1,1,0,1,1,1,24
303631,23,0,0,1,0,0,0,0,1,319
303635,21,1,1,1,0,0,0,0,1,63
303637,19,1,1,0,0,0,0,0,1,9
303638,25,1,0,0,1,0,1,1,1,3
303640,24,1,1,1,0,0,0,0,1,159
303644,30,0,1,1,1,0,0,1,1,7
303646,23,1,1,0,1,0,1,1,1,21
303648,18,0,1,0,1,0,1,1,1,25
303650,18,1,1,0,0,0,0,0,1,3
303652,16,0,1,0,0,0,1,1,1,48
303655,18,1,0,0,0,0,1,1,1,9
303656,31,1,1,1,0,0,0,1,1,353
303657,17,0,0,0,0,0,1,0,1,66
303658,26,1,1,0,0,0,1,0,1,93
303659,18,0,1,1,1,0,0,1,1,100
303660,52,0,1,1,1,1,1,1,1,5
303661,18,1,0,0,0,0,1,0,1,326
303664,17,0,0,0,1,0,1,1,1,415
303666,33,1,1,1,1,0,0,0,1,395
303667,20,1,0,0,0,0,1,0,1,46
303668,19,1,0,0,0,0,0,0,1,403
303672,41,0,0,1,1,1,1,1,1,473
303673,29,1,1,1,1,1,1,1,1,6
303675,27,1,1,1,0,0,0,0,1,2
303677,30,1,1,0,0,0,1,0,1,176
303679,30,1,1,1,1,1,0,1,1,350
303684,22,0,0,1,0,0,0,0,1,242
303685,24,1,0,1,0,0,0,0,1,298
303689,30,1,0,1,0,0,0,0,1,66
303690,45,0,1,0,0,0,1,1,0,674
303692,62,0,1,0,0,0,0,0,0,1267
303694,40,0,0,1,1,1,1,1,1,391
303695,49,1,0,0,1,1,0,1,1,499
303697,36,0,0,1,1,0,0,1,0,994
303699,60,1,1,0,0,0,0,1,1,66
303700,27,1,0,1,1,0,0,1,1,266
303702,19,0,0,0,0,0,1,1,0,374
303705,22,0,1,1,1,1,0,1,1,72
303706,19,1,1,0,1,1,0,1,1,308
303708,18,1,1,0,1,0,0,1,1,225
303709,30,1,0,1,1,0,0,1,1,14
303711,26,1,1,1,0,0,0,1,1,472
303713,74,0,0,1,0,1,0,1,0,586
303714,31,1,1,1,1,0,0,1,0,588
303715,30,0,0,0,0,0,1,0,1,6
303717,38,1,1,0,0,0,0,1,1,76
303718,39,1,1,1,0,1,0,1,1,526
303719,33,0,0,1,0,0,0,1,1,124
303720,36,1,1,1,1,0,0,1,1,3
303721,32,1,1,0,0,0,1,1,1,18
303723,32,0,0,0,0,0,1,0,1,133
303727,20,1,1,0,1,0,1,1,1,134
303730,19,1,0,0,1,0,1,1,1,91
303734,23,0,0,1,1,0,0,1,1,671
303735,39,1,0,1,0,1,0,1,0,440
303737,24,1,0,0,1,0,0,1,1,130
303738,39,1,0,1,1,0,0,1,1,34
303739,19,1,1,1,0,0,0,0,1,150
303742,17,1,0,0,1,0,0,1,1,298
303743,20,0,0,1,1,0,0,1,0,1244
303744,20,1,0,0,0,0,1,1,1,722
303746,26,0,0,0,1,1,0,1,1,296
303747,31,0,1,1,0,0,0,1,1,10
303750,36,1,0,1,1,1,0,1,1,339
303751,19,0,1,1,1,1,1,1,1,399
303753,19,0,1,0,0,0,1,0,1,168
303754,35,0,1,1,1,1,1,1,1,178
303755,19,0,0,1,1,0,0,1,1,15
303756,25,0,1,1,1,0,0,1,1,526
303757,22,1,0,0,1,0,1,1,0,602
303758,21,0,1,0,1,0,1,0,1,28
303759,20,0,1,0,1,0,0,1,1,251
303760,34,0,0,1,1,0,1,1,1,230
303762,36,1,1,0,1,0,1,1,1,75
303763,21,0,1,0,1,0,1,1,1,265
303764,28,0,1,1,1,0,0,1,1,588
303765,23,0,0,0,0,0,1,1,1,28
303766,34,1,0,1,0,0,0,1,0,1066
303768,37,1,1,0,1,1,0,1,1,14
303769,23,1,1,0,1,0,1,1,1,354
303770,59,0,0,1,1,1,1,1,1,248
303771,45,0,1,1,0,1,1,1,1,243
303773,21,0,0,0,1,0,0,1,1,427
303774,34,0,0,1,0,0,0,1,0,454
303775,21,1,0,0,1,0,0,1,1,263
303776,19,1,1,0,1,0,0,1,1,10
303777,21,1,1,1,1,0,1,1,1,102
303778,28,1,1,1,0,1,1,0,1,28
303781,59,1,1,0,1,0,0,1,1,363
303782,28,1,0,0,0,0,1,0,0,516
303783,21,1,0,0,1,0,0,1,1,208
303784,22,1,1,0,0,0,1,0,1,6
303787,21,0,1,0,1,0,1,1,1,14
303790,19,0,1,1,1,0,0,1,1,6
303791,42,0,1,0,0,0,1,0,0,1083
303796,21,1,0,0,0,0,1,0,1,480
303800,28,0,1,1,1,0,0,1,1,40
303804,26,1,1,1,0,1,1,1,1,11
303806,23,1,1,1,1,1,1,1,1,161
303807,23,0,1,0,1,0,0,1,1,58
303810,23,0,0,0,1,0,1,1,0,608
303811,31,1,0,1,0,0,0,0,0,531
303812,42,0,1,1,0,1,0,1,1,48
303813,34,1,1,1,1,1,1,1,1,38
303815,24,0,0,1,0,0,0,0,1,110
303819,21,0,1,1,0,1,1,1,1,147
303821,25,1,1,1,0,0,0,0,1,1
303828,36,1,0,1,0,0,0,0,0,1027
303829,43,0,1,1,1,0,0,1,1,15
303830,30,0,1,0,1,1,1,0,1,36
303832,21,0,1,1,0,1,1,0,1,7
303833,19,0,1,1,1,1,0,1,1,393
303835,25,0,0,1,0,0,0,0,1,669
303836,26,0,1,1,0,0,1,0,1,23
303838,38,1,0,1,1,1,0,1,1,490
303840,21,1,1,0,0,1,0,0,1,16
303841,34,0,1,1,1,1,0,1,1,125
303845,29,1,0,1,1,0,0,1,1,318
303846,24,0,0,0,1,0,0,1,1,111
303849,34,1,1,1,0,1,1,1,1,41
303850,43,0,1,0,1,0,1,1,1,18
303851,29,0,1,1,0,0,0,1,1,39
303857,22,1,1,1,0,0,0,1,1,114
303859,34,0,1,0,0,0,1,1,1,206
303860,36,0,1,1,1,0,1,1,0,693
303861,35,0,1,1,0,0,1,1,1,15
303862,23,0,0,0,1,0,0,1,1,123
303863,29,0,0,1,0,0,0,1,1,323
303865,23,0,1,0,1,0,1,1,1,111
303866,20,0,1,0,1,0,1,1,1,101
303867,20,0,1,1,1,0,0,1,1,11
303869,48,0,0,0,1,0,1,0,1,59
303870,18,1,0,0,0,0,1,0,1,112
303871,19,0,1,1,1,0,0,1,1,343
303873,27,1,1,0,1,0,0,1,1,250
303875,31,1,1,0,0,0,1,1,0,735
303876,32,1,1,1,1,0,0,1,1,40
303877,18,1,1,0,1,0,1,1,1,149
303879,20,0,0,1,0,1,0,0,0,576
303881,32,1,1,0,1,0,1,1,1,59
303882,31,1,1,0,1,0,1,1,0,525
303886,28,0,0,1,1,1,0,1,1,272
303888,30,0,0,0,0,0,1,1,0,916
303890,24,0,1,0,1,0,1,1,1,58
303893,38,1,1,1,0,0,0,1,0,582
303894,26,0,1,0,0,0,1,0,1,27
303897,16,0,0,0,1,0,1,1,1,419
303898,27,0,1,1,0,0,0,0,1,32
303899,24,0,1,1,1,1,0,1,1,493
303901,32,0,0,1,0,0,0,1,0,852
303902,39,0,1,0,0,0,1,0,1,22
303904,45,0,1,0,0,0,1,0,1,12
303905,29,0,1,1,1,1,1,1,1,26
303906,26,1,1,1,0,1,0,1,1,171
303907,20,1,1,1,1,1,0,1,1,189
303908,18,0,0,1,0,0,0,0,0,469
303909,67,0,0,0,1,1,1,1,1,269
303912,22,0,0,1,1,0,1,1,1,611
303913,18,1,1,0,1,0,0,1,1,164
303916,22,0,1,0,1,0,1,1,1,78
303917,17,0,0,1,0,1,0,0,1,443
303918,43,1,0,1,0,0,0,1,1,41
303919,50,0,1,1,0,1,1,1,1,9
303921,35,1,0,1,0,1,1,0,1,481
303922,39,0,1,1,0,1,1,1,1,15
303923,36,1,0,1,1,0,0,1,1,266
303924,39,0,1,1,1,1,1,0,1,379
303925,29,1,1,1,1,0,0,1,1,192
303926,21,0,1,0,0,0,1,1,0,598
303927,17,1,0,0,0,0,1,1,1,228
303933,24,0,0,0,1,0,1,1,0,1225
303936,41,1,1,0,0,0,0,1,0,468
303942,17,0,1,0,1,0,1,1,1,210
303944,41,0,1,1,0,1,1,0,1,115
303946,17,0,0,0,1,0,0,0,1,374
303948,31,0,1,1,1,1,1,1,1,37
303949,19,0,0,1,0,0,0,1,1,293
303952,18,0,0,0,1,0,1,1,1,417
303954,41,0,0,1,0,1,1,0,1,50
303955,29,1,0,1,1,0,0,1,1,56
303956,24,0,0,1,1,1,0,1,1,28
303958,43,1,0,1,0,1,0,0,0,628
303960,28,0,0,1,0,0,0,0,0,571
303961,25,1,1,1,0,1,1,0,1,539
303963,36,1,0,1,1,0,0,1,1,250
303968,24,0,1,1,0,0,0,1,1,374
303969,34,1,0,1,1,0,0,0,1,454
303971,42,1,0,1,1,0,1,1,1,162
303974,19,1,1,0,0,0,1,1,1,125
303975,28,1,0,1,1,0,0,1,0,581
303977,18,0,1,0,0,0,0,0,1,155
303979,35,0,0,1,0,0,0,1,1,71
303982,54,0,1,0,1,0,1,1,0,1279
303983,27,1,0,1,1,0,0,1,1,111
303984,22,0,1,1,1,0,0,1,1,406
303986,72,0,1,0,1,0,0,1,0,546
303988,42,0,1,1,1,1,1,1,0,627
303990,44,1,0,1,1,0,0,1,1,161
303991,38,0,1,1,0,1,0,0,1,522
303992,21,0,0,1,0,1,0,0,1,153
303997,24,1,0,1,0,0,1,0,1,328
303998,33,1,1,0,1,0,1,0,1,344
303999,51,0,1,1,1,1,1,1,1,39
304002,37,1,0,1,0,0,0,0,0,611
304004,29,1,0,0,1,0,1,1,1,210
304005,20,1,1,0,1,0,1,1,1,4
304006,28,1,0,1,1,0,0,1,1,178
304007,18,1,0,0,0,0,1,0,0,580
304015,29,1,0,1,0,1,0,0,1,445
304016,30,0,1,1,1,1,1,1,1,405
304019,38,0,0,0,0,0,0,1,1,41
304021,19,0,0,0,0,0,1,0,1,147
304022,52,1,1,1,0,0,0,0,1,29
304026,31,0,1,1,0,0,0,0,1,10
304027,39,1,1,1,1,0,0,1,1,17
304028,22,1,0,1,1,1,0,1,1,300
304030,26,1,0,0,1,0,1,1,1,4
304031,33,1,0,1,1,0,0,1,0,672
304034,36,0,0,1,1,1,1,1,1,342
304036,37,1,0,1,1,0,0,1,1,270
304037,38,0,1,1,0,1,0,1,1,52
304038,22,1,1,0,0,0,1,1,0,546
304040,25,0,0,1,0,0,0,1,0,1215
304043,35,1,0,0,1,0,1,1,1,196
304045,32,0,0,1,0,0,0,1,1,67
304046,16,0,0,0,1,0,0,0,1,1143
304050,38,1,0,1,0,0,0,1,1,364
304052,41,0,1,1,1,1,1,1,1,13
304053,19,1,1,0,1,0,1,0,1,131
304055,40,1,0,0,0,0,1,0,1,75
304058,45,0,0,1,1,0,0,0,0,858
304060,30,1,0,0,0,0,1,0,1,364
304061,27,1,1,0,0,0,1,1,1,20
304063,29,1,1,1,1,1,1,1,1,14
304064,38,1,1,1,1,1,0,1,1,17
304065,27,1,1,0,1,0,1,1,1,146
304067,23,1,1,0,0,0,0,1,0,567
304070,42,1,0,1,1,0,0,1,0,871
304071,38,1,1,1,1,1,1,0,1,202
304072,25,1,1,0,0,0,1,0,1,302
304073,19,1,0,0,0,0,0,0,1,2
304076,18,1,1,0,1,0,0,1,1,60
304077,20,1,1,0,1,0,1,0,1,122
304079,28,1,0,1,0,0,0,0,1,147
304081,21,1,1,0,1,0,1,1,1,258
304082,42,0,0,0,1,0,1,1,1,365
304089,25,0,1,1,1,0,0,1,1,21
304090,26,0,1,1,0,0,0,0,1,524
304092,19,0,0,0,1,0,0,1,1,170
304095,30,0,1,1,1,0,0,1,1,8
304096,25,1,1,1,0,0,0,0,1,42
304097,27,1,0,1,1,0,0,1,0,624
304101,21,1,0,0,1,0,0,0,1,39
304104,24,1,0,0,1,0,1,1,1,280
304107,28,1,0,1,1,0,0,1,1,383
304108,22,1,1,0,0,0,1,0,1,4
304110,20,0,0,1,0,1,0,0,0,1235
304115,39,0,0,1,0,1,1,0,1,128
304116,32,0,1,1,1,1,1,1,1,261
304117,21,1,1,0,0,0,0,0,1,387
304119,16,0,0,0,0,0,1,1,0,1375
304120,32,1,0,1,0,0,1,0,1,70
304122,33,0,1,1,1,1,1,1,1,446
304124,21,1,0,1,1,0,0,1,1,401
304125,34,0,0,1,0,1,1,1,1,2
304126,20,1,1,0,0,0,0,0,1,23
304127,31,1,1,1,1,0,0,1,0,576
304128,18,1,1,0,1,0,0,1,1,10
304129,17,0,0,0,0,0,1,0,1,90
304131,24,1,1,1,0,0,0,0,1,187
304136,28,1,1,0,1,0,1,1,1,45
304137,19,1,1,0,0,0,0,1,1,42
304139,21,1,1,1,1,1,0,0,1,12
304140,33,0,1,1,1,0,0,1,1,27
304143,43,0,0,0,1,0,1,1,1,40
304145,51,0,0,1,0,1,0,1,1,8
304146,19,1,1,0,0,0,0,0,1,277
304147,28,0,0,1,0,1,1,1,1,314
304150,21,0,0,0,1,0,1,1,1,155
304152,18,0,1,0,0,0,0,1,1,325
304155,20,0,1,1,1,1,1,1,1,5
304156,36,0,0,1,0,1,1,1,1,116
304158,26,1,0,1,0,0,0,0,0,604
304159,27,1,1,0,0,0,1,0,1,44
304160,33,0,0,1,1,0,0,1,1,497
304163,47,0,1,0,0,1,0,0,1,29
304164,70,0,1,0,0,0,1,1,1,29
304166,21,0,0,0,0,0,0,1,1,152
304167,43,0,1,1,0,1,0,1,1,28
304168,45,0,1,0,0,0,0,0,1,23
304169,28,0,1,0,1,0,1,1,1,359
304170,32,1,1,1,1,0,0,0,0,1109
304172,25,0,1,0,0,0,1,1,1,2
304173,43,1,0,1,0,0,1,1,1,207
304176,16,0,1,0,0,0,0,1,0,930
304177,34,1,0,1,0,0,0,0,0,1051
304181,33,1,1,1,1,0,0,1,1,2
304183,19,0,0,0,1,0,0,1,1,1
304187,47,0,1,0,1,0,0,0,1,414
304189,23,1,1,1,0,1,1,0,1,88
304190,32,0,1,1,1,1,0,1,1,14
304192,19,0,0,1,1,0,0,1,0,786
304193,25,1,0,0,1,0,1,1,1,146
304194,44,0,0,1,0,0,0,0,1,143
304197,29,0,0,1,1,0,0,1,1,10
304198,17,0,0,0,1,0,1,1,1,619
304200,24,0,0,0,0,0,0,1,0,610
304201,31,1,0,0,0,0,1,0,1,110
304202,26,1,1,0,0,0,0,0,0,677
304203,33,0,1,1,0,1,1,0,1,6
304204,22,1,0,1,0,0,0,1,1,19
304207,17,0,0,1,0,0,0,0,1,155
304209,31,1,1,1,1,1,0,1,1,189
304211,25,0,1,0,1,0,0,1,1,5
304215,24,0,1,1,1,1,1,1,1,68
304218,35,1,0,0,1,0,1,1,1,83
304222,34,0,0,1,0,0,0,0,1,231
304224,42,1,1,1,0,1,1,1,1,11
304225,24,1,1,0,0,1,1,1,1,68
304227,33,1,1,1,0,1,1,0,0,775
304228,23,0,1,1,1,1,0,1,0,1227
304233,17,0,0,0,1,0,0,1,1,654
304234,33,1,0,0,1,0,1,1,1,45
304235,39,0,1,0,0,0,1,0,1,3
304236,19,1,1,0,1,1,0,1,0,531
304239,29,1,1,1,0,0,0,1,1,38
304240,23,0,1,0,0,0,0,1,1,6
304241,19,0,1,0,1,0,1,1,1,96
304242,26,0,1,0,1,0,1,1,1,14
304244,22,1,1,0,1,0,0,1,1,12
304245,21,1,1,1,0,1,1,0,1,395
304246,26,0,1,1,1,0,0,0,1,164
304249,56,0,1,0,1,0,0,1,0,584
304250,26,0,0,1,1,1,1,1,1,2
304252,19,0,1,0,1,0,1,1,1,204
304253,23,1,1,1,0,1,0,0,1,154
304257,18,0,0,0,1,0,1,1,1,37
304258,18,1,0,0,0,0,0,1,1,550
304259,47,1,0,1,1,0,0,1,0,786
304260,21,1,0,0,1,0,1,1,1,36
304261,24,1,1,0,1,0,1,1,1,50
304263,34,0,1,1,0,0,1,1,1,352
304269,24,1,0,0,0,0,1,0,1,271
304270,17,0,1,0,0,0,0,0,1,293
304271,24,1,1,0,1,0,1,1,1,286
304274,20,0,1,1,0,0,0,0,1,69
304279,18,0,1,0,0,0,1,1,1,13
304280,44,1,1,0,0,0,0,0,1,62
304281,28,1,0,1,1,0,0,1,1,237
304286,25,0,1,0,1,0,1,1,1,172
304287,21,0,0,0,0,0,1,1,1,612
304289,25,0,1,0,0,0,0,0,1,52
304291,18,0,0,0,1,0,0,1,1,8
304295,16,0,1,0,0,0,0,0,0,1055
304297,28,0,1,1,0,0,0,0,1,47
304299,33,1,0,1,1,0,0,1,1,76
304300,23,1,0,0,1,0,1,1,1,1
304301,49,1,1,0,0,0,0,0,1,26
304305,20,0,1,0,0,0,0,0,1,353
304308,33,1,1,1,0,1,1,1,1,3
304310,17,0,0,0,1,0,0,1,0,753
304311,30,0,0,0,1,0,1,1,0,576
304313,21,1,0,0,1,0,0,1,1,40
304314,34,0,1,1,1,0,0,1,1,136
304315,21,1,0,0,0,0,1,0,1,15
304317,45,0,1,1,1,1,0,0,0,638
304318,32,1,1,1,1,1,0,1,1,134
304319,26,1,1,0,1,0,1,1,1,26
304323,19,1,1,0,1,0,1,1,0,969
304324,46,1,0,1,0,1,1,1,1,276
304325,46,1,1,1,0,0,0,0,0,524
304328,16,0,0,0,1,0,1,1,1,573
304330,17,0,1,0,1,0,1,1,1,75
304331,54,0,0,0,1,1,1,1,1,85
304332,25,0,1,0,0,0,1,1,1,18
304334,37,0,1,0,0,0,1,0,1,270
304335,36,0,1,0,0,0,0,0,1,222
304340,30,1,1,1,0,0,0,1,0,597
304344,25,1,1,1,1,0,0,1,1,35
304348,33,1,1,1,0,0,0,0,1,577
304349,39,1,1,1,0,0,0,0,0,722
304351,22,1,0,1,0,0,1,0,1,584
304353,16,0,1,0,1,0,1,1,1,496
304355,45,0,1,0,1,0,1,1,1,490
304356,20,1,0,1,0,0,0,1,1,132
304360,26,0,0,1,0,0,0,0,1,64
304362,35,1,0,1,1,0,0,1,0,640
304363,18,0,1,0,1,0,0,1,1,389
304364,51,1,1,0,1,0,1,1,1,101
304365,29,1,1,0,0,1,0,0,1,41
304367,23,0,1,1,0,1,0,1,1,14
304368,48,1,1,0,1,0,0,1,0,596
304369,38,0,0,1,0,0,0,1,1,43
304370,20,1,0,0,0,0,1,1,1,297
304377,21,0,0,0,0,0,1,0,1,776
304378,22,0,0,0,0,0,1,0,1,438
304379,23,1,1,1,1,1,1,0,1,56
304380,23,0,1,1,1,1,1,1,1,2
304381,22,1,0,1,1,0,0,1,0,774
304382,33,0,1,0,0,0,1,1,1,424
304383,21,0,0,0,1,0,1,1,1,36
304385,22,1,0,1,1,0,0,1,1,9
304386,17,0,0,0,1,0,1,0,1,323
304389,32,1,1,0,0,0,1,0,1,19
304390,17,0,1,0,1,0,1,1,1,392
304391,28,1,1,1,1,0,0,1,1,195
304394,31,0,0,1,0,0,1,0,1,557
304396,39,1,1,1,0,1,0,0,1,157
304398,42,1,1,1,1,0,1,1,1,9
304400,27,0,1,1,0,1,1,0,1,28
304402,20,0,0,1,1,1,1,1,1,324
304403,38,0,1,1,1,0,0,1,1,287
304405,19,1,1,0,0,0,0,1,1,647
304408,16,0,0,0,1,0,1,1,1,543
304409,25,1,1,0,0,0,1,0,1,613
304412,22,1,1,0,0,1,1,1,1,11
304414,55,1,1,0,1,1,0,1,1,98
304415,20,1,0,0,0,0,0,1,1,247
304416,32,1,0,1,1,0,0,1,1,474
304417,37,0,1,1,0,0,1,0,1,14
304418,20,0,1,0,0,0,0,1,0,620
304419,16,0,0,0,0,0,0,1,1,266
304420,43,1,1,1,1,0,0,1,1,338
304421,17,0,0,0,0,0,1,1,1,772
304423,26,1,0,1,0,0,0,0,1,591
304424,25,0,0,1,0,0,0,1,1,259
304425,25,0,0,0,1,0,1,1,1,3
304426,28,1,0,1,1,1,1,1,1,31
304427,18,0,1,0,1,0,0,1,1,249
304429,19,1,1,0,1,0,1,1,1,263
304430,28,0,1,1,1,1,1,1,1,43
304432,34,1,0,1,1,0,0,1,0,595
304434,18,0,0,0,0,0,1,1,1,262
304435,20,0,1,0,1,0,1,1,1,18
304437,32,0,0,1,1,0,0,1,0,739
304438,32,1,1,0,1,0,1,1,1,24
304439,19,0,1,0,0,0,0,0,1,499
304440,29,0,1,0,0,0,1,0,1,289
304442,20,0,0,0,0,0,1,1,1,124
304444,19,1,1,0,1,0,1,0,1,8
304446,28,0,1,0,1,0,1,1,1,24
304447,20,0,1,0,0,0,1,1,1,326
304449,41,1,0,1,0,0,0,1,0,950
304452,27,0,1,1,0,0,0,0,1,524
304454,20,0,1,0,0,0,0,1,1,143
304455,34,0,0,1,1,0,0,1,0,861
304456,29,0,1,1,1,1,0,1,1,204
304457,18,1,1,1,1,0,0,1,1,47
304458,32,0,1,1,1,0,0,1,1,101
304459,29,1,0,1,0,0,0,0,1,418
304460,24,0,0,0,1,0,1,1,1,26
304461,18,0,1,0,0,0,1,1,1,376
304462,55,1,1,0,0,1,0,0,1,174
304463,26,1,1,0,0,0,1,0,0,648
304466,19,1,0,0,0,0,0,0,1,3
304467,34,0,1,1,0,1,0,1,1,350
304469,25,1,0,1,1,0,0,1,1,44
304470,21,0,1,1,0,1,0,1,1,478
304471,29,1,1,0,1,0,1,1,1,318
304474,17,0,0,1,0,0,0,1,0,598
304476,26,1,0,0,1,0,1,1,1,736
304477,24,0,1,1,1,0,0,1,1,159
304478,21,1,1,0,0,0,0,0,1,127
304485,37,1,1,0,0,0,1,0,0,651
304487,36,1,1,1,1,1,0,0,1,370
304488,40,0,0,0,0,0,1,0,0,435
304491,26,1,1,1,1,0,0,1,1,39
304492,26,1,1,0,0,0,0,1,1,213
304493,29,0,0,1,1,0,0,1,0,1112
304495,17,0,1,0,1,0,1,1,1,520
304496,23,0,1,1,1,0,0,0,1,39
304497,28,1,1,1,0,1,0,1,0,545
304501,41,0,0,1,1,1,0,1,1,4
304502,26,0,1,0,0,1,0,0,1,179
304503,27,0,1,1,1,0,1,1,1,47
304509,38,1,0,0,1,0,1,1,0,952
304510,46,0,1,0,0,0,1,0,1,438
304511,30,1,1,1,1,0,0,0,1,124
304514,27,1,1,1,1,0,0,1,1,138
304516,38,1,1,1,0,1,0,0,1,279
304517,23,1,1,0,1,0,1,1,1,13
304528,32,1,1,1,0,1,1,1,1,20
